index,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,nonzero_mean,output_type,gtex_tissue,histone_mark,transcription_factor
124,UBERON:0000317 ATAC-seq,.,ATAC-seq,UBERON:0000317,colonic mucosa,tissue,adult,encode,paired,false,0.2913193702697754,OutputType.ATAC,NaN,NaN,NaN
125,UBERON:0000945 ATAC-seq,.,ATAC-seq,UBERON:0000945,stomach,tissue,adult,encode,paired,false,1.1229300498962402,OutputType.ATAC,NaN,NaN,NaN
126,UBERON:0000992 ATAC-seq,.,ATAC-seq,UBERON:0000992,ovary,tissue,adult,encode,paired,false,0.14541088044643402,OutputType.ATAC,NaN,NaN,NaN
127,UBERON:0000995 ATAC-seq,.,ATAC-seq,UBERON:0000995,uterus,tissue,adult,encode,paired,false,0.3675922751426697,OutputType.ATAC,NaN,NaN,NaN
128,UBERON:0001072 ATAC-seq,.,ATAC-seq,UBERON:0001072,posterior vena cava,tissue,adult,encode,paired,false,0.3368026912212372,OutputType.ATAC,NaN,NaN,NaN
129,UBERON:0001114 ATAC-seq,.,ATAC-seq,UBERON:0001114,right lobe of liver,tissue,adult,encode,paired,false,0.5050563216209412,OutputType.ATAC,NaN,NaN,NaN
130,UBERON:0001115 ATAC-seq,.,ATAC-seq,UBERON:0001115,left lobe of liver,tissue,adult,encode,paired,false,0.3790719211101532,OutputType.ATAC,NaN,NaN,NaN
131,UBERON:0001150 ATAC-seq,.,ATAC-seq,UBERON:0001150,body of pancreas,tissue,adult,encode,paired,false,1.4392449855804443,OutputType.ATAC,NaN,NaN,NaN
132,UBERON:0001157 ATAC-seq,.,ATAC-seq,UBERON:0001157,transverse colon,tissue,adult,encode,paired,false,1.2739818096160889,OutputType.ATAC,NaN,NaN,NaN
133,UBERON:0001159 ATAC-seq,.,ATAC-seq,UBERON:0001159,sigmoid colon,tissue,adult,encode,paired,false,1.3383288383483887,OutputType.ATAC,NaN,NaN,NaN
134,UBERON:0001259 ATAC-seq,.,ATAC-seq,UBERON:0001259,mucosa of urinary bladder,tissue,adult,encode,paired,false,0.6834927201271057,OutputType.ATAC,NaN,NaN,NaN
135,UBERON:0001264 ATAC-seq,.,ATAC-seq,UBERON:0001264,pancreas,tissue,adult,encode,paired,false,0.28255096077919006,OutputType.ATAC,NaN,NaN,NaN
136,UBERON:0001322 ATAC-seq,.,ATAC-seq,UBERON:0001322,sciatic nerve,tissue,adult,encode,paired,false,0.6590536236763,OutputType.ATAC,NaN,NaN,NaN
137,UBERON:0002046 ATAC-seq,.,ATAC-seq,UBERON:0002046,thyroid gland,tissue,adult,encode,paired,false,1.391801118850708,OutputType.ATAC,NaN,NaN,NaN
138,UBERON:0002048 ATAC-seq,.,ATAC-seq,UBERON:0002048,lung,tissue,adult,encode,paired,false,2.9806368350982666,OutputType.ATAC,NaN,NaN,NaN
139,UBERON:0002078 ATAC-seq,.,ATAC-seq,UBERON:0002078,right cardiac atrium,tissue,adult,encode,paired,false,0.2509532570838928,OutputType.ATAC,NaN,NaN,NaN
140,UBERON:0002079 ATAC-seq,.,ATAC-seq,UBERON:0002079,left cardiac atrium,tissue,adult,encode,paired,false,0.32439956068992615,OutputType.ATAC,NaN,NaN,NaN
141,UBERON:0002080 ATAC-seq,.,ATAC-seq,UBERON:0002080,heart right ventricle,tissue,adult,encode,paired,false,0.1907806694507599,OutputType.ATAC,NaN,NaN,NaN
142,UBERON:0002084 ATAC-seq,.,ATAC-seq,UBERON:0002084,heart left ventricle,tissue,adult,encode,paired,false,0.23439067602157593,OutputType.ATAC,NaN,NaN,NaN
143,UBERON:0002099 ATAC-seq,.,ATAC-seq,UBERON:0002099,cardiac septum,tissue,adult,encode,paired,false,1.774492621421814,OutputType.ATAC,NaN,NaN,NaN
144,UBERON:0002106 ATAC-seq,.,ATAC-seq,UBERON:0002106,spleen,tissue,adult,encode,paired,false,0.18534542620182037,OutputType.ATAC,NaN,NaN,NaN
145,UBERON:0002107 ATAC-seq,.,ATAC-seq,UBERON:0002107,liver,tissue,adult,encode,paired,false,0.3416995704174042,OutputType.ATAC,NaN,NaN,NaN
146,UBERON:0002113 ATAC-seq,.,ATAC-seq,UBERON:0002113,kidney,tissue,adult,encode,paired,false,0.40251538157463074,OutputType.ATAC,NaN,NaN,NaN
147,UBERON:0002168 ATAC-seq,.,ATAC-seq,UBERON:0002168,left lung,tissue,child,encode,paired,false,0.4284360408782959,OutputType.ATAC,NaN,NaN,NaN
148,UBERON:0002170 ATAC-seq,.,ATAC-seq,UBERON:0002170,upper lobe of right lung,tissue,adult,encode,paired,false,0.2896386384963989,OutputType.ATAC,NaN,NaN,NaN
149,UBERON:0002171 ATAC-seq,.,ATAC-seq,UBERON:0002171,lower lobe of right lung,tissue,adult,encode,paired,false,0.2252897024154663,OutputType.ATAC,NaN,NaN,NaN
150,UBERON:0002190 ATAC-seq,.,ATAC-seq,UBERON:0002190,subcutaneous adipose tissue,tissue,adult,encode,paired,false,0.9239097833633423,OutputType.ATAC,NaN,NaN,NaN
151,UBERON:0002369 ATAC-seq,.,ATAC-seq,UBERON:0002369,adrenal gland,tissue,adult,encode,paired,false,0.9822091460227966,OutputType.ATAC,NaN,NaN,NaN
152,UBERON:0002394 ATAC-seq,.,ATAC-seq,UBERON:0002394,bile duct,tissue,adult,encode,paired,false,0.4307073652744293,OutputType.ATAC,NaN,NaN,NaN
153,UBERON:0002469 ATAC-seq,.,ATAC-seq,UBERON:0002469,esophagus mucosa,tissue,adult,encode,paired,false,0.3933384418487549,OutputType.ATAC,NaN,NaN,NaN
